resp_id,design,cylinders,brand,price,color,rating
0,Naked,4,Honda,7000,yellow,10
0,Fully Fairing,4,BMW,8000,red,6
0,Fully Fairing,4,Honda,7000,red,10
0,Fully Fairing,2,Honda,10000,red,8
0,Fully Fairing,2,Honda,8000,black,6
0,Naked,4,BMW,10000,red,8
0,Naked,4,Honda,10000,black,5
0,Naked,4,BMW,8000,red,8
0,Fully Fairing,4,Honda,8000,black,7
0,Naked,4,BMW,7000,yellow,6
0,Fully Fairing,2,BMW,8000,yellow,3
0,Naked,2,Honda,10000,blue,1
0,Fully Fairing,2,Honda,10000,red,5
0,Naked,4,BMW,7000,yellow,5
0,Fully Fairing,2,Honda,7000,black,7
0,Fully Fairing,4,BMW,8000,blue,4
0,Naked,4,BMW,7000,red,5
0,Naked,2,BMW,7000,red,4
0,Fully Fairing,4,Honda,10000,blue,7
0,Fully Fairing,4,Honda,10000,red,7
0,Fully Fairing,4,BMW,10000,blue,4
0,Naked,4,Honda,10000,yellow,4
0,Fully Fairing,4,Honda,10000,red,9
0,Fully Fairing,4,BMW,8000,yellow,6
1,Naked,4,Honda,7000,yellow,6
1,Fully Fairing,4,BMW,8000,red,6
1,Fully Fairing,4,Honda,7000,red,10
1,Fully Fairing,2,Honda,10000,red,3
1,Fully Fairing,2,Honda,8000,black,6
1,Naked,4,BMW,10000,red,2
1,Naked,4,Honda,10000,black,3
1,Naked,4,BMW,8000,red,6
1,Fully Fairing,4,Honda,8000,black,7
1,Naked,4,BMW,7000,yellow,3
1,Fully Fairing,2,BMW,8000,yellow,4
1,Naked,2,Honda,10000,blue,1
1,Fully Fairing,2,Honda,10000,red,4
1,Naked,4,BMW,7000,yellow,6
1,Fully Fairing,2,Honda,7000,black,8
1,Fully Fairing,4,BMW,8000,blue,4
1,Naked,4,BMW,7000,red,4
1,Naked,2,BMW,7000,red,9
1,Fully Fairing,4,Honda,10000,blue,3
1,Fully Fairing,4,Honda,10000,red,4
1,Fully Fairing,4,BMW,10000,blue,1
1,Naked,4,Honda,10000,yellow,1
1,Fully Fairing,4,Honda,10000,red,5
1,Fully Fairing,4,BMW,8000,yellow,4
2,Naked,4,Honda,7000,yellow,9
2,Fully Fairing,4,BMW,8000,red,9
2,Fully Fairing,4,Honda,7000,red,10
2,Fully Fairing,2,Honda,10000,red,6
2,Fully Fairing,2,Honda,8000,black,8
2,Naked,4,BMW,10000,red,7
2,Naked,4,Honda,10000,black,4
2,Naked,4,BMW,8000,red,5
2,Fully Fairing,4,Honda,8000,black,7
2,Naked,4,BMW,7000,yellow,7
2,Fully Fairing,2,BMW,8000,yellow,5
2,Naked,2,Honda,10000,blue,1
2,Fully Fairing,2,Honda,10000,red,6
2,Naked,4,BMW,7000,yellow,6
2,Fully Fairing,2,Honda,7000,black,10
2,Fully Fairing,4,BMW,8000,blue,5
2,Naked,4,BMW,7000,red,8
2,Naked,2,BMW,7000,red,6
2,Fully Fairing,4,Honda,10000,blue,3
2,Fully Fairing,4,Honda,10000,red,8
2,Fully Fairing,4,BMW,10000,blue,4
2,Naked,4,Honda,10000,yellow,4
2,Fully Fairing,4,Honda,10000,red,7
2,Fully Fairing,4,BMW,8000,yellow,9
3,Naked,4,Honda,7000,yellow,10
3,Fully Fairing,4,BMW,8000,red,7
3,Fully Fairing,4,Honda,7000,red,9
3,Fully Fairing,2,Honda,10000,red,4
3,Fully Fairing,2,Honda,8000,black,6
3,Naked,4,BMW,10000,red,1
3,Naked,4,Honda,10000,black,4
3,Naked,4,BMW,8000,red,6
3,Fully Fairing,4,Honda,8000,black,6
3,Naked,4,BMW,7000,yellow,7
3,Fully Fairing,2,BMW,8000,yellow,5
3,Naked,2,Honda,10000,blue,3
3,Fully Fairing,2,Honda,10000,red,5
3,Naked,4,BMW,7000,yellow,6
3,Fully Fairing,2,Honda,7000,black,6
3,Fully Fairing,4,BMW,8000,blue,5
3,Naked,4,BMW,7000,red,7
3,Naked,2,BMW,7000,red,8
3,Fully Fairing,4,Honda,10000,blue,3
3,Fully Fairing,4,Honda,10000,red,3
3,Fully Fairing,4,BMW,10000,blue,4
3,Naked,4,Honda,10000,yellow,4
3,Fully Fairing,4,Honda,10000,red,5
3,Fully Fairing,4,BMW,8000,yellow,6
4,Naked,4,Honda,7000,yellow,6
4,Fully Fairing,4,BMW,8000,red,6
4,Fully Fairing,4,Honda,7000,red,8
4,Fully Fairing,2,Honda,10000,red,6
4,Fully Fairing,2,Honda,8000,black,6
4,Naked,4,BMW,10000,red,6
4,Naked,4,Honda,10000,black,3
4,Naked,4,BMW,8000,red,5
4,Fully Fairing,4,Honda,8000,black,7
4,Naked,4,BMW,7000,yellow,4
4,Fully Fairing,2,BMW,8000,yellow,1
4,Naked,2,Honda,10000,blue,1
4,Fully Fairing,2,Honda,10000,red,7
4,Naked,4,BMW,7000,yellow,5
4,Fully Fairing,2,Honda,7000,black,8
4,Fully Fairing,4,BMW,8000,blue,5
4,Naked,4,BMW,7000,red,8
4,Naked,2,BMW,7000,red,6
4,Fully Fairing,4,Honda,10000,blue,3
4,Fully Fairing,4,Honda,10000,red,10
4,Fully Fairing,4,BMW,10000,blue,2
4,Naked,4,Honda,10000,yellow,6
4,Fully Fairing,4,Honda,10000,red,8
4,Fully Fairing,4,BMW,8000,yellow,4
5,Naked,4,Honda,7000,yellow,2
5,Fully Fairing,4,BMW,8000,red,4
5,Fully Fairing,4,Honda,7000,red,10
5,Fully Fairing,2,Honda,10000,red,10
5,Fully Fairing,2,Honda,8000,black,6
5,Naked,4,BMW,10000,red,2
5,Naked,4,Honda,10000,black,2
5,Naked,4,BMW,8000,red,4
5,Fully Fairing,4,Honda,8000,black,8
5,Naked,4,BMW,7000,yellow,3
5,Fully Fairing,2,BMW,8000,yellow,4
5,Naked,2,Honda,10000,blue,1
5,Fully Fairing,2,Honda,10000,red,8
5,Naked,4,BMW,7000,yellow,1
5,Fully Fairing,2,Honda,7000,black,7
5,Fully Fairing,4,BMW,8000,blue,5
5,Naked,4,BMW,7000,red,5
5,Naked,2,BMW,7000,red,2
5,Fully Fairing,4,Honda,10000,blue,5
5,Fully Fairing,4,Honda,10000,red,10
5,Fully Fairing,4,BMW,10000,blue,5
5,Naked,4,Honda,10000,yellow,6
5,Fully Fairing,4,Honda,10000,red,8
5,Fully Fairing,4,BMW,8000,yellow,2
6,Naked,4,Honda,7000,yellow,9
6,Fully Fairing,4,BMW,8000,red,8
6,Fully Fairing,4,Honda,7000,red,10
6,Fully Fairing,2,Honda,10000,red,4
6,Fully Fairing,2,Honda,8000,black,5
6,Naked,4,BMW,10000,red,1
6,Naked,4,Honda,10000,black,1
6,Naked,4,BMW,8000,red,5
6,Fully Fairing,4,Honda,8000,black,9
6,Naked,4,BMW,7000,yellow,7
6,Fully Fairing,2,BMW,8000,yellow,8
6,Naked,2,Honda,10000,blue,1
6,Fully Fairing,2,Honda,10000,red,5
6,Naked,4,BMW,7000,yellow,10
6,Fully Fairing,2,Honda,7000,black,9
6,Fully Fairing,4,BMW,8000,blue,9
6,Naked,4,BMW,7000,red,7
6,Naked,2,BMW,7000,red,5
6,Fully Fairing,4,Honda,10000,blue,4
6,Fully Fairing,4,Honda,10000,red,5
6,Fully Fairing,4,BMW,10000,blue,2
